596.61790  	0.00040  	 350  	2.42e+05  	 1.27e-01  	  C+ 	151 038.4524  	-  	167 794.9709  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 2  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
597.46273  	0.00004  	 5000  	6.06e+06  	 4.47e+00  	  C+ 	150 315.8612  	-  	167 048.6694  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 3  		T6976 	L3451
597.55343  	0.00005  	 6000  	3.51e+06  	 1.11e+00  	  B+ 	134 041.8400  	-  	150 772.1118  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  		T2733 	L7292
598.23753  	0.00040  	 80  	9.9e+04  	 3.13e-02  	  C 	150 315.8612  	-  	167 026.9923  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		T6976 	L4498
598.79074  	0.00004  	 1500  	3.63e+06  	 1.93e+00  	  C+ 	150 315.8612  	-  	167 011.5643  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L3451
599.16477  	0.00040  	 750  	1.18e+06  	 8.80e-01  	  C+ 	150 315.8612  	-  	167 001.1327  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[7/2]°  	 3  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
600.09275  	0.00004  	 1000  	1.14e+06  	 3.66e-01  	  C+ 	150 315.8612  	-  	166 975.3424  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 1  		T6976 	L3451
602.99968  	0.00005  	 10000  	5.61e+06  	 1.82e+00  	  B+ 	134 459.2871  	-  	151 038.4524  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  		T2733 	L7292
604.2013   	0.0020   	 150  	1.56e+05  	 5.1e-02  	  C 	152 970.7328  	-  	169 516.9948  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)5d  	 2[3/2]°  	 1  		T6976 	L3469
604.61348  	0.00004  	 500  	2.26e+05  	 7.40e-02  	  B+ 	150 121.5922  	-  	166 656.5114  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L3451
606.45359  	0.00004  	 500  	1.64e+06  	 1.81e-01  	  B+ 	150 121.5922  	-  	166 606.3370  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 0  		T2734 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
607.43376  	0.00005  	 10000  	6.03e+07  	 6.68e+00  	  B+ 	134 459.2871  	-  	150 917.4307  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 0  		T2733 	L7292
609.61630  	0.00005  	 3000  	1.81e+07  	 1.01e+01  	  B+ 	134 459.2871  	-  	150 858.5079  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  		T2733 	L7292
611.80187  	0.00040  	 150  	6.09e+05  	 2.07e-01  	  B+ 	150 315.8612  	-  	166 656.5114  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L4498
612.84498  	0.00004  	 1000  	6.70e+05  	 2.29e-01  	  B+ 	134 459.2871  	-  	150 772.1118  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  		T2733 	L3451
614.2508   	0.0020   	 1000  	1.64e+06  	 9.37e-01  	  C+ 	150 772.1118  	-  	167 047.6082  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 2  		T6976 	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
614.30627  	0.00005  	 10000  	2.82e+07  	 1.61e+01  	  B+ 	134 041.8400  	-  	150 315.8612  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  		T2733 	L7292
615.02985  	0.00040  	 1000  	1.33e+06  	 4.58e-01  	  C+ 	150 772.1118  	-  	167 026.9923  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		T6976 	L4498
615.61380  	0.00040  	 500  	1.72e+05  	 9.9e-02  	  C 	150 772.1118  	-  	167 011.5643  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
616.35937  	0.00005  	 10000  	1.46e+07  	 5.07e+00  	  B+ 	134 818.6405  	-  	151 038.4524  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 0  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  		T2733 	L7292
617.28156  	0.00040  	 150  	4.27e+05  	 4.96e-02  	  C 	150 772.1118  	-  	166 967.6752  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 0  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
617.48829  	0.00004  	 700  	7.52e+05  	 6.12e-01  	  C+ 	150 858.5079  	-  	167 048.6694  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 3  		T6976 	L3451
617.52842  	0.00040  	 500  	3.00e+05  	 1.75e-01  	  C+ 	150 858.5079  	-  	167 047.6082  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 2  		T6976 	L4498
618.21460  	0.00004  	 1500  	3.72e+06  	 2.17e+00  	  B+ 	149 657.0392  	-  	165 828.1766  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)5s  	 2[3/2]°  	 2  		T2734 	L3451
618.31575  	0.00040  	 50  	1.18e+05  	 4.13e-02  	  C 	150 858.5079  	-  	167 026.9923  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		T6976 	L4498
618.90649  	0.00004  	 700  	5.88e+05  	 3.44e-01  	  C+ 	150 858.5079  	-  	167 011.5643  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
619.30663  	0.00004  	 500  	1.80e+05  	 1.47e-01  	  C+ 	150 858.5079  	-  	167 001.1327  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[7/2]°  	 3  		T6976 	L3451
620.29740  	0.00040  	 150  	2.44e+05  	 8.6e-02  	  C 	150 858.5079  	-  	166 975.3424  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 1  		T6976 	L4498
620.57775  	0.00004  	 1000  	1.52e+06  	 5.37e-01  	  C+ 	150 917.4307  	-  	167 026.9923  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		T6976 	L3451
621.38758  	0.00004  	 1500  	2.85e+06  	 1.01e+00  	  B+ 	149 824.2215  	-  	165 912.7861  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)5s  	 2[3/2]°  	 1  		T2734 	L3451
621.72812  	0.00005  	 10000  	6.37e+06  	 2.27e+00  	  B+ 	134 041.8400  	-  	150 121.5922  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  		T2733 	L7292
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
622.57350  	0.00040  	 500  	6.19e+05  	 2.21e-01  	  C+ 	150 917.4307  	-  	166 975.3424  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 1  		T6976 	L4498
624.67294  	0.00004  	 1000  	7.97e+05  	 4.80e-01  	  B+ 	149 824.2215  	-  	165 828.1766  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)5s  	 2[3/2]°  	 2  		T2734 	L3451
624.9593   	0.0020   	 50  	  	   	   	152 970.7328  	-  	168 967.3526  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 1  		  	L3469
625.2732   	0.0020   	 20  	  	   	   	151 038.4524  	-  	167 026.9923  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		  	L3469
625.87884  	0.00040  	 1000  	6.06e+05  	 3.67e-01  	  C+ 	151 038.4524  	-  	167 011.5643  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
626.64952  	0.00005  	 10000  	2.49e+07  	 9.08e+00  	  B+ 	134 818.6405  	-  	150 772.1118  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 0  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  		T2733 	L7292
627.30141  	0.00040  	 700  	9.94e+05  	 3.64e-01  	  C+ 	151 038.4524  	-  	166 975.3424  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 1  		T6976 	L4498
627.60327  	0.00040  	 500  	1.25e+06  	 1.52e-01  	  C+ 	151 038.4524  	-  	166 967.6752  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 0  		T6976 	L4498
629.37447  	0.00004  	 1000  	6.39e+05  	 2.36e-01  	  B+ 	150 772.1118  	-  	166 656.5114  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L3451
630.47893  	0.00005  	 1000  	4.16e+06  	 2.57e+00  	  B+ 	134 459.2871  	-  	150 315.8612  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  		T2733 	L7292
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
631.36855  	0.00040  	 1500  	3.40e+06  	 4.23e-01  	  B+ 	150 772.1118  	-  	166 606.3370  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 0  		T2734 	L4498
632.81646  	0.00004  	 3000  	3.39e+06  	 1.27e+00  	  B+ 	150 858.5079  	-  	166 656.5114  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L3451
633.08894  	0.00040  	 1500  	1.46e+06  	 5.49e-01  	  B+ 	150 121.5922  	-  	165 912.7861  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)5s  	 2[3/2]°  	 1  		T2734 	L4498
633.44276  	0.00005  	 10000  	1.61e+07  	 1.01e+01  	  B+ 	134 041.8400  	-  	149 824.2215  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  		T2733 	L7292
635.18532  	0.00040  	 1000  	3.45e+05  	 1.31e-01  	  B+ 	150 917.4307  	-  	166 656.5114  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
636.49963  	0.00040  	 1000  	1.60e+05  	 1.02e-01  	  B+ 	150 121.5922  	-  	165 828.1766  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)5s  	 2[3/2]°  	 2  		T2734 	L4498
638.29914  	0.00005  	 10000  	3.21e+07  	 1.24e+01  	  B+ 	134 459.2871  	-  	150 121.5922  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  		T2733 	L7292
640.1076   	0.0020   	 1000  	1.39e+06  	 5.40e-01  	  B+ 	151 038.4524  	-  	166 656.5114  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L3469
640.22480  	0.00010  	 20000  	5.149e+07  	 4.672e+01  	  AAA 	134 041.8400  	-  	149 657.0392  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  		T4273 	L7292
